Type,Source,Destination,Success,Note
participant_csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/A025_exp01_InspectQuestionResults.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/A025/CSV/A025_exp01_InspectQuestionResults.csv,1,copied
participant_csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/A025_exp02_Experiment2Results.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/A025/CSV/A025_exp02_Experiment2Results.csv,1,copied
experiment_end_csv_filtered,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/ExperimentEndEvents.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/A025/CSV/A025_ExperimentEndEvent.csv,1,filtered_rows_1
dynamic_aoi,../../../../../../Project/UE5/Gallery/Saved/EyeTrackingAOI/A025_DynamicAOI.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/A025/AOI/A025_DynamicAOI.csv,1,copied
formal_edf,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/EDF/FM125309.EDF,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/A025/EDF/FM125309.EDF,1,copied
latest_edf_fallback,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/EDF/FM125309.EDF,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/A025/EDF/FM125309.EDF,1,copied
latest_eyelink_marker_log,../../../../../../Project/UE5/Gallery/Saved/ExperimentLogs/EyeLinkMarkers_20260613_124934_352.log,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/A025/Logs/EyeLinkMarkers_20260613_124934_352.log,1,copied
screen_recording_log,../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/ScreenRecordingLog.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/A025/Logs/ScreenRecordingLog.csv,1,copied
screen_recording,../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A025_20260613_125403_screen.mkv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/A025/ScreenRecordings/A025_20260613_125403_screen.mkv,1,copied
latest_screen_recording_fallback,../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/A025_20260613_125403_screen.mkv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/A025/ScreenRecordings/A025_20260613_125403_screen.mkv,1,copied
