Type,Source,Destination,Success,Note
participant_csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/B003_exp01_InspectQuestionResults.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B003/CSV/B003_exp01_InspectQuestionResults.csv,1,copied
participant_csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/B003_exp02_Experiment2Results.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B003/CSV/B003_exp02_Experiment2Results.csv,1,copied
experiment_end_csv_filtered,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/ExperimentEndEvents.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B003/CSV/B003_ExperimentEndEvent.csv,1,filtered_rows_1
dynamic_aoi,../../../../../../Project/UE5/Gallery/Saved/EyeTrackingAOI/B003_DynamicAOI.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B003/AOI/B003_DynamicAOI.csv,1,copied
formal_edf,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/EDF/FM161716.EDF,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B003/EDF/FM161716.EDF,1,copied
latest_edf_fallback,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/EDF/FM161716.EDF,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B003/EDF/FM161716.EDF,1,copied
latest_eyelink_marker_log,../../../../../../Project/UE5/Gallery/Saved/ExperimentLogs/EyeLinkMarkers_20260614_161634_210.log,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B003/Logs/EyeLinkMarkers_20260614_161634_210.log,1,copied
screen_recording_log,../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/ScreenRecordingLog.csv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B003/Logs/ScreenRecordingLog.csv,1,copied
screen_recording,../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B003_20260614_161822_screen.mkv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B003/ScreenRecordings/B003_20260614_161822_screen.mkv,1,copied
latest_screen_recording_fallback,../../../../../../Project/UE5/Gallery/Saved/ScreenRecordings/B003_20260614_161822_screen.mkv,../../../../../../Project/UE5/Gallery/Saved/ExperimentData/Participants/B003/ScreenRecordings/B003_20260614_161822_screen.mkv,1,copied
